Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-12-20 11:09:43,false,"Linkoping Running","12.39","760","01:31:17","152","178","2.7","162","182","7:22","5:40","90","92","0.84","0.0","0.0","0.0","0.0","0.0","1:31:17","0:00","0.0","0:00","No","15:33.49","3","0.0"
Running,2020-12-19 17:49:39,false,"Norrköping Running","6.61","305","00:46:31","128","154","1.5","166","187","7:02","5:54","55","43","0.85","0.0","0.0","0.0","0.0","0.0","46:31","0:00","0.0","0:00","No","46:30.65","1","0.0"
Running,2020-12-18 12:34:54,false,"Norrköping Running","12.88","778","01:25:27","157","177","3.0","165","179","6:38","5:31","115","127","0.91","0.0","0.0","0.0","0.0","0.0","1:25:27","0:00","0.0","0:00","No","01:25:26.80","1","0.0"
Running,2020-12-17 18:12:09,false,"Norrköping Running","10.15","619","01:05:00","156","176","3.0","164","173","6:24","5:49","39","43","0.95","0.0","0.0","0.0","0.0","0.0","1:05:00","0:00","0.0","0:00","No","01:05:00.41","1","0.0"
Indoor Cycling,2020-12-16 15:43:01,false,"Indoor Cycling","0.00","339","01:30:02","101","123","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1:30:02","0:00","0.0","0:00","No","01:30:01.70","1","0.0"
Running,2020-12-14 18:00:01,false,"Norrköping Running","5.31","280","00:35:19","139","154","1.9","165","180","6:39","5:51","28","26","0.91","0.0","0.0","0.0","0.0","0.0","35:19","0:00","0.0","0:00","No","35:18.79","1","0.0"
Running,2020-12-13 14:56:44,false,"Norrköping Running","8.18","462","00:55:23","146","171","2.3","164","174","6:46","5:51","47","44","0.90","0.0","0.0","0.0","0.0","0.0","55:23","0:00","0.0","0:00","No","55:23.36","1","0.0"
Running,2020-12-12 14:08:19,false,"Norrköping Running","8.95","645","01:00:04","165","176","3.4","165","175","6:43","5:50","76","77","0.91","0.0","0.0","0.0","0.0","0.0","1:00:04","0:00","0.0","0:00","No","01:00:03.85","1","0.0"
Running,2020-12-08 17:45:48,false,"Norrköping Running","9.71","656","01:01:42","160","177","3.2","169","199","6:21","5:10","384","381","0.93","0.0","0.0","0.0","0.0","0.0","1:01:42","0:00","0.0","0:00","No","01:01:41.64","1","0.0"
Running,2020-12-07 18:15:20,false,"Norrköping Running","3.51","206","00:20:47","150","165","2.2","167","173","5:56","5:33","22","72","1.01","0.0","0.0","0.0","0.0","0.0","20:47","0:00","0.0","0:00","No","20:47.42","1","0.0"
Running,2020-12-05 09:51:35,false,"Norrköping Running","12.66","868","01:25:04","161","187","3.1","166","246","6:43","4:46","104","103","0.90","0.0","0.0","0.0","0.0","0.0","1:25:04","0:00","0.0","0:00","No","23:07.72","3","0.0"
Running,2020-12-04 18:37:52,false,"Norrköping Running","12.25","730","01:15:01","156","174","2.8","171","182","6:08","5:27","41","36","0.96","0.0","0.0","0.0","0.0","0.0","1:15:01","0:00","0.0","0:00","No","01:15:01.11","1","0.0"
Running,2020-12-02 18:11:13,false,"Norrköping Running","10.31","527","01:05:02","143","169","2.1","169","179","6:18","5:27","53","53","0.94","0.0","0.0","0.0","0.0","0.0","1:05:02","0:00","0.0","0:00","No","01:05:01.50","1","0.0"
Running,2020-12-01 17:29:09,false,"Norrköping Running","13.91","906","01:35:51","158","180","2.9","166","248","6:53","4:56","100","103","0.87","0.0","0.0","0.0","0.0","0.0","1:35:51","0:00","0.0","0:00","No","26:02.06","3","0.0"
Running,2020-11-30 18:04:17,false,"Norrköping Running","5.66","310","00:29:16","162","180","2.9","173","249","5:10","2:41","24","21","1.11","0.0","0.0","0.0","0.0","0.0","29:16","0:00","0.0","0:00","No","01:00.00","8","0.0"
Running,2020-11-30 17:44:04,false,"Norrköping Running","2.83","152","00:15:52","147","163","2.0","170","179","5:37","4:43","16","15","1.05","0.0","0.0","0.0","0.0","0.0","15:52","0:00","0.0","0:00","No","15:52.36","1","0.0"
Running,2020-11-29 14:29:39,false,"Norrköping Running","6.27","335","00:40:06","144","172","2.0","167","177","6:24","5:48","37","39","0.94","0.0","0.0","0.0","0.0","0.0","40:06","0:00","0.0","0:00","No","40:06.45","1","0.0"
Running,2020-11-28 09:36:01,false,"Norrköping Running","19.58","1,311","02:35:01","157","183","3.0","158","248","7:55","4:55","178","179","0.80","0.0","0.0","0.0","0.0","0.0","2:35:01","0:00","0.0","0:00","No","02:22.77","3","0.0"
Running,2020-11-26 18:37:45,false,"Norrköping Running","10.70","537","01:10:12","142","175","2.1","167","185","6:33","4:37","85","87","0.91","0.0","0.0","0.0","0.0","0.0","1:10:12","0:00","0.0","0:00","No","00:33.22","21","0.0"
Running,2020-11-25 19:26:05,false,"Norrköping Running","6.45","349","00:40:00","146","181","2.2","164","197","6:12","3:04","27","34","0.98","0.0","0.0","0.0","0.0","0.0","40:00","0:00","0.0","0:00","No","39:59.98","1","0.0"
Running,2020-11-24 17:39:45,false,"Linkoping Running","11.76","616","01:22:00","149","186","2.7","163","235","6:58","4:26","88","86","0.88","0.0","0.0","0.0","0.0","0.0","1:22:00","0:00","0.0","0:00","No","18:17.85","3","0.0"
